,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.90,0.89,0.93,0.90,0.88,0.89,0.75,0.72,0.22
dry warm,0.93,0.95,0.95,0.84,0.94,0.93,0.71,0.75,0.24
wet cold,0.83,0.80,0.85,0.67,0.87,0.70,0.71,0.65,0.22
dry cold,0.69,0.82,0.77,0.58,0.82,0.69,0.59,0.52,0.30
range,0.24,0.15,0.17,0.32,0.12,0.24,0.16,0.22,0.43
