,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.86,0.72,0.71,0.85,0.72,0.88,0.70,0.71,0.17
dry warm,0.84,0.78,0.95,0.74,0.69,0.81,0.48,0.89,0.47
wet cold,0.90,0.66,0.81,0.47,0.79,0.83,0.74,0.82,0.43
dry cold,0.74,0.45,0.84,0.35,0.52,0.76,0.53,0.82,0.49
range,0.16,0.33,0.24,0.50,0.27,0.12,0.26,0.18,0.60
