,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.76,0.41,0.82,0.81,0.69,0.39,0.54,0.62,0.43
dry warm,0.36,-0.05,0.24,0.16,0.08,0.13,0.01,0.07,0.41
wet cold,0.91,0.21,0.87,0.85,0.75,0.38,0.56,0.70,0.70
dry cold,0.65,0.45,0.58,0.35,0.46,0.30,0.21,0.34,0.45
range,0.55,0.49,0.62,0.69,0.67,0.26,0.55,0.63,0.95
