,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.90,0.66,0.67,0.86,0.78,0.82,0.70,0.63,0.27
dry warm,0.74,0.78,0.93,0.60,0.61,0.72,0.45,0.90,0.48
wet cold,0.80,0.62,0.67,0.66,0.52,0.82,0.64,0.73,0.30
dry cold,0.67,0.44,0.81,0.65,0.37,0.78,0.52,0.82,0.45
range,0.24,0.33,0.26,0.26,0.41,0.10,0.25,0.26,0.56
