,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,-0.60,0.06,-0.13,-0.41,-0.49,0.12,-0.31,-0.09,0.72
dry warm,-0.29,0.07,-0.38,-0.16,-0.19,-0.11,-0.18,-0.31,0.45
wet cold,-0.01,-0.08,0.03,-0.52,0.30,-0.16,-0.16,0.11,0.82
dry cold,0.19,0.15,0.04,-0.65,0.35,-0.27,-0.13,-0.12,1.01
range,0.80,0.23,0.42,0.49,0.85,0.39,0.18,0.42,1.01
