,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.38,0.29,0.36,0.32,0.41,0.43,0.30,0.26,0.17
dry warm,0.73,0.12,0.67,0.68,0.68,0.63,0.48,0.19,0.61
wet cold,0.45,0.44,0.43,0.22,0.50,0.17,0.39,0.16,0.35
dry cold,-0.11,-0.12,-0.08,0.08,0.13,-0.01,0.14,-0.18,0.32
range,0.85,0.57,0.75,0.60,0.54,0.64,0.35,0.44,0.92
