,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.66,0.70,0.57,0.63,0.73,0.58,0.59,0.60,0.16
dry warm,0.97,0.96,0.97,0.98,0.98,0.93,0.90,0.95,0.09
wet cold,0.72,0.83,0.82,0.79,0.82,0.73,0.69,0.71,0.14
dry cold,0.85,0.93,0.94,0.94,0.89,0.88,0.74,0.77,0.20
range,0.32,0.26,0.40,0.36,0.25,0.35,0.31,0.35,0.41
