,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.27,0.61,0.16,0.29,0.41,0.38,0.21,0.18,0.45
dry warm,0.90,0.96,0.93,0.95,0.95,0.87,0.79,0.94,0.17
wet cold,-0.03,0.75,0.52,0.32,0.47,0.63,0.21,0.43,0.78
dry cold,0.82,0.94,0.95,0.92,0.86,0.87,0.67,0.74,0.28
range,0.93,0.35,0.79,0.66,0.54,0.50,0.59,0.76,0.99
