,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.86,0.58,0.88,0.88,0.84,0.59,0.72,0.77,0.30
dry warm,0.87,0.12,0.78,0.84,0.76,0.70,0.69,0.41,0.75
wet cold,0.96,0.56,0.94,0.94,0.91,0.58,0.79,0.83,0.40
dry cold,0.70,0.26,0.55,0.58,0.61,0.40,0.48,0.46,0.45
range,0.26,0.46,0.39,0.36,0.30,0.29,0.31,0.42,0.83
