,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,0.92,0.88,0.95,0.93,0.90,0.87,0.77,0.76,0.20
dry warm,0.85,0.95,0.91,0.69,0.89,0.88,0.60,0.75,0.35
wet cold,0.84,0.75,0.89,0.80,0.87,0.72,0.69,0.72,0.19
dry cold,0.84,0.84,0.88,0.63,0.87,0.73,0.60,0.63,0.28
range,0.08,0.20,0.07,0.30,0.03,0.15,0.18,0.12,0.36
