,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,range
wet warm,-0.58,-0.27,-0.62,-0.60,-0.52,-0.19,-0.41,-0.43,0.43
dry warm,-0.27,-0.04,-0.27,-0.11,-0.17,-0.10,-0.12,-0.20,0.23
wet cold,-0.50,-0.01,-0.60,-0.62,-0.51,-0.28,-0.34,-0.44,0.61
dry cold,-0.67,-0.35,-0.67,-0.31,-0.51,-0.32,-0.20,-0.45,0.48
range,0.41,0.35,0.40,0.51,0.35,0.22,0.29,0.25,0.67
