,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,mean,std,cov,min,max
pr,2062.31,2083.71,2084.18,2085.58,2084.18,2051.06,2084.18,2084.31,2076.46,13.90,0.01,2051.06,2085.58
netrad,1763.86,1866.60,1382.40,1387.89,1539.57,1613.66,1539.57,1589.24,1584.79,180.80,0.11,1382.40,1866.60
evap,918.40,924.03,906.62,1069.13,968.64,779.46,996.67,1059.30,937.56,89.70,0.10,779.46,1069.13
qr,756.77,572.95,273.54,528.88,432.05,753.32,500.23,355.45,545.39,172.11,0.32,273.54,756.77
qtot,1103.53,1148.01,1139.96,988.53,1061.50,1122.88,1014.05,945.32,1082.64,62.75,0.06,988.53,1148.01
evap_pr,0.45,0.44,0.44,0.51,0.46,0.38,0.48,0.51,0.45,0.04,0.09,0.38,0.51
qr_pr,0.37,0.27,0.13,0.25,0.21,0.37,0.24,0.17,0.26,0.08,0.32,0.13,0.37
qtot_pr,0.54,0.55,0.55,0.47,0.51,0.55,0.49,0.45,0.52,0.03,0.06,0.47,0.55
