,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,mean,std,cov,min,max
pr,692.00,702.48,699.52,699.87,699.52,693.64,699.52,699.43,698.08,3.77,0.01,692.00,702.48
netrad,331.23,931.47,446.65,480.44,476.62,619.68,476.62,464.49,537.53,192.98,0.36,331.23,931.47
evap,198.17,302.19,313.13,352.38,268.90,248.25,288.85,289.62,281.70,49.52,0.18,198.17,352.38
qr,159.72,97.11,97.43,226.31,64.45,238.02,185.89,86.79,152.70,68.05,0.45,64.45,238.02
qtot,459.73,383.69,364.34,339.20,388.96,399.86,371.22,371.65,386.72,37.67,0.10,339.20,459.73
evap_pr,0.29,0.43,0.45,0.50,0.38,0.36,0.41,0.41,0.40,0.07,0.17,0.29,0.50
qr_pr,0.23,0.14,0.14,0.32,0.09,0.34,0.27,0.12,0.22,0.10,0.45,0.09,0.34
qtot_pr,0.66,0.55,0.52,0.48,0.56,0.58,0.53,0.53,0.55,0.06,0.10,0.48,0.66
