,clm45,cwatm,h08,jules-w1,lpjml,matsiro,pcr-globwb,watergap2,mean,std,cov,min,max
pr,557.26,574.09,577.84,575.05,577.84,551.92,577.86,577.49,570.27,10.92,0.02,551.92,577.86
netrad,1365.47,2075.22,1153.30,1160.15,1295.90,1306.15,1295.92,1489.60,1378.87,316.98,0.23,1153.30,2075.22
evap,421.85,373.44,426.35,445.13,397.61,359.53,426.49,459.72,407.20,31.35,0.08,359.53,445.13
qr,70.35,88.16,46.11,11.76,36.13,60.12,43.75,45.39,50.91,24.75,0.49,11.76,88.16
qtot,133.10,207.66,144.18,126.61,176.85,127.88,147.49,151.87,151.97,29.95,0.20,126.61,207.66
evap_pr,0.76,0.65,0.74,0.77,0.69,0.65,0.74,0.80,0.71,0.05,0.07,0.65,0.77
qr_pr,0.13,0.15,0.08,0.02,0.06,0.11,0.08,0.08,0.09,0.04,0.49,0.02,0.15
qtot_pr,0.24,0.36,0.25,0.22,0.31,0.23,0.26,0.26,0.27,0.05,0.19,0.22,0.36
