,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,1.00,3606.00,2112.00,629.00,188.00,212.00,20.00,2418.00,126.00,89.00
fraction,0.00,0.38,0.22,0.07,0.02,0.02,0.00,0.26,0.01,0.01
