,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,4762.00,5125.00,1753.00,620.00,56.00,1800.00,139.00,2827.00,2871.00,1681.00
fraction,0.22,0.24,0.08,0.03,0.00,0.08,0.01,0.13,0.13,0.08
