,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,8642.00,19837.00,7792.00,1144.00,723.00,6065.00,387.00,6338.00,7080.00,5288.00
fraction,0.14,0.31,0.12,0.02,0.01,0.10,0.01,0.10,0.11,0.08
