,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,2.00,4900.00,981.00,163.00,42.00,3904.00,717.00,2898.00,647.00,73.00
fraction,0.00,0.34,0.07,0.01,0.00,0.27,0.05,0.20,0.05,0.01
