,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,184.00,5360.00,3723.00,166.00,414.00,1394.00,45.00,898.00,1250.00,893.00
fraction,0.01,0.37,0.26,0.01,0.03,0.10,0.00,0.06,0.09,0.06
