,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,1616.00,2538.00,922.00,633.00,25.00,320.00,78.00,1151.00,858.00,1260.00
fraction,0.17,0.27,0.10,0.07,0.00,0.03,0.01,0.12,0.09,0.13
