,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,817.00,4835.00,3946.00,347.00,456.00,663.00,18.00,983.00,1376.00,886.00
fraction,0.06,0.34,0.28,0.02,0.03,0.05,0.00,0.07,0.10,0.06
