,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,13.00,7263.00,1755.00,1072.00,314.00,1775.00,658.00,660.00,2847.00,1577.00
fraction,0.00,0.40,0.10,0.06,0.02,0.10,0.04,0.04,0.16,0.09
