,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,2513.00,21498.00,8327.00,4446.00,902.00,5325.00,1820.00,3885.00,8400.00,6180.00
fraction,0.04,0.34,0.13,0.07,0.01,0.08,0.03,0.06,0.13,0.10
