,none,multiple,CLM4.5,CWatM,H08,JULES-W1,LPJmL,MATSIRO,PCR-GLOBWB,WaterGAP2
count,1445.00,2789.00,941.00,151.00,30.00,617.00,7.00,1438.00,736.00,1247.00
fraction,0.15,0.30,0.10,0.02,0.00,0.07,0.00,0.15,0.08,0.13
