pr,netrad,Test,output,GHM,Domain,model_netrad
0.9458259505267645,0.7031309680179229,spearman,qtot,h08,dry warm,yes
0.7114938199012656,0.5546018724784095,spearman,evap,cwatm,wet warm,yes
0.7168027659723476,0.35742603793142896,spearman,qr,cwatm,wet warm,yes
0.8816950959989882,0.27899063570493454,spearman,qtot,cwatm,wet warm,yes
0.828996870724926,0.5601980431732387,spearman,evap,cwatm,wet cold,yes
0.6715203115987581,0.3215499409202544,spearman,qr,cwatm,wet cold,yes
0.7950683784207335,0.4367394393739632,spearman,qtot,cwatm,wet cold,yes
0.9285465389603595,0.20597677462601177,spearman,evap,cwatm,dry cold,yes
0.47200594419819913,0.209715784385767,spearman,qr,cwatm,dry cold,yes
0.8236517625440009,-0.1486143863822642,spearman,qtot,cwatm,dry cold,yes
0.9608184246809256,0.10782890839483121,spearman,evap,cwatm,dry warm,yes
0.7843732772479758,0.15536647098943726,spearman,qr,cwatm,dry warm,yes
0.953724616436654,0.11414451220442967,spearman,qtot,cwatm,dry warm,yes
0.713014844358561,0.8386550107046652,spearman,evap,Mean,wet warm,yes
0.9224906728960353,0.5069234593159623,spearman,qr,Mean,wet warm,yes
0.9069158927473097,0.4465662392909027,spearman,qtot,Mean,wet warm,yes
0.8011089842313689,0.9060719141186567,spearman,evap,Mean,wet cold,yes
0.9290931954920858,0.6030711580715388,spearman,qr,Mean,wet cold,yes
0.8261111166515414,0.39065175331734703,spearman,qtot,Mean,wet cold,yes
0.9320707748629444,0.5143267082226791,spearman,evap,Mean,dry cold,yes
0.8669403403717793,0.18910770466259205,spearman,qr,Mean,dry cold,yes
0.7933857921147836,-0.04123304347459151,spearman,qtot,Mean,dry cold,yes
0.9815935014003462,0.7140923705443112,spearman,evap,Mean,dry warm,yes
0.9148159146074504,0.5686194278849792,spearman,qr,Mean,dry warm,yes
0.9457704582714573,0.6270757101471024,spearman,qtot,Mean,dry warm,yes
